longitude,latitude,name,type,status
-76.49173602,42.4490628,Northeast Corner University Av  Parking Lot,blue_light,open
-76.4893426,42.44837636,Carl Becker House East Quad,blue_light,open
-76.47942015,42.44456333,"Parking Garage, Level 1, South End",blue_light,open
-76.47942015,42.44456333,"Parking Garage, Level 2, South End",blue_light,open
-76.47942015,42.44456333,"Parking Garage, Level 3, South End",blue_light,open
-76.47942015,42.44456333,"Parking Garage, Level 4, South End",blue_light,open
-76.47676103,42.45715089,"Townhouse D, SE Corner",blue_light,open
-76.45005958,42.45129812,"State Fleet Garage, On Wall by Entrance",blue_light,open
-76.48106429,42.44628975,"Barton Hall, CUP Division Lot",blue_light,open
-76.48419105,42.44415739,"Bard Hall, NW corner",blue_light,open
-76.48753824,42.446423,Campus Rd & West Ave in Front of Noyes Center,blue_light,open
-76.48800573,42.44592575,New Noyes Cntr Basketball Court SW Corner,blue_light,open
-76.48423956,42.44315472,Trolley Bridge,blue_light,open
-76.47942015,42.44456333,Parking Garage 5th Floor North,blue_light,open
-76.47942041,42.44371135,Parking Garage 5th Floor South,blue_light,open
-76.47377126,42.45337658,Cradit Farm Drive near tennis courts,blue_light,open
-76.47444928,42.4537863,Appel Community Commons Lot,blue_light,open
-76.47511066,42.44890301,"Mann Library, Northeast on Path",blue_light,open
-76.46395759,42.43409475,Equestrian Center,blue_light,open
-76.45112309,42.43812012,McGovern Fields Game Farm Rd,blue_light,open
-76.47214537,42.43794105,"Maplewoods Apartments, South",blue_light,open
-76.47336483,42.43953928,"Maplewood Apartments, Middle",blue_light,open
-76.48039274,42.44301027,"Rhodes Hall, Southeast Corner",blue_light,open
-76.48918267,42.44874046,Gothics Way,blue_light,open
-76.47378121,42.44440088,Old Oxley Parking Lot West,blue_light,open
-76.46654355,42.44714386,Tower Rd Outside VRT/ECRF,blue_light,open
-76.46549271,42.44665289,VMC/ECRF Loading dock,blue_light,open
-76.48299495,42.44372172,Upson Hall Southwest Corner,blue_light,open
-76.4741054,42.4488274,"Beebe Hall Exterior,2nd level southeast corner of*",blue_light,open
-76.45319183,42.42740589,Snyder Hill North of Wildlife Bld,blue_light,open
-76.45429575,42.42831933,West side of Baker Institute,blue_light,open
-76.48817118,42.44791846,Flora Rose east side/ west of Mennon,blue_light,open
-76.48891365,42.44789894,Flora Rose Pavilion West,blue_light,open
-76.48992375,42.44726436,Keaton House NW corner,blue_light,open
-76.49006795,42.44625916,East side Stewart Ave At Cornell St.,blue_light,open
-76.48928293,42.44634911,North end Maryann Wood Dr.,blue_light,open
-76.44903831,42.48192161,Ornithology Overflow lot or the Hawk Barn Lot,blue_light,open
-76.44944687,42.48052843,Ornithology Staff Lot/ Boardwalk Parragon Lot,blue_light,open
-76.45027026,42.47985786,Ornithology Handicap Lot/ SE Parking Lot,blue_light,open
-76.48201714,42.44438448,"Phillips, Exterior  Loading Dock",blue_light,open
-76.47792236,42.44607798,NW Corner by Lynah,blue_light,open
-76.47798701,42.4506895,HEB NE driveway,blue_light,open
-76.48209765,42.4487526,Physical Science Bld,blue_light,open
-76.47814245,42.45058356,MVR Parking Garage-2nd level east,blue_light,open
-76.47892759,42.45063924,MVR Parking Garage-2nd level west,blue_light,open
-76.4788795,42.45058981,MVR Parking Garage- 1st Level west,blue_light,open
-76.4788795,42.45058981,MVR Parking Garage-3rd level west,blue_light,open
-76.4782133,42.45066512,MVR parking Garage-1st level east,blue_light,open
-76.47813999,42.45067117,MVR Parking Garage-3rd level east,blue_light,open
-76.47308972,42.4491542,Plantation Welcome Center,blue_light,open
-76.46373323,42.44853867,NYS Vet Diagonstic Lab,blue_light,open
-76.48606178,42.45244616,"Suspension Bridge,North End",blue_light,open
-76.48975319,42.45204551,Upper Stewart Ave Bridge over Fall Creek,blue_light,open
